0.6461,-0.54,0
0.6461,-0.5,0
0.64611,-0.46,-0.02
0.64611,-0.46,0.04
0.64612,-0.48,0.04
0.64612,-0.54,0
0.64612,-0.56,0
0.64613,-0.52,0.04
0.64613,-0.54,0.06
0.64614,-0.54,0.06
0.64614,-0.52,0.06
0.64614,-0.52,0.04
0.64615,-0.48,0.04
0.64615,-0.48,0.06
0.64616,-0.5,0.06
0.64616,-0.46,0.06
0.64616,-0.42,0.04
0.64617,-0.42,0.1
0.64617,-0.42,0.1
0.64618,-0.42,0.1
0.64618,-0.46,0.08
0.64618,-0.46,0.06
0.64619,-0.5,0.04
0.64619,-0.5,0.06
0.6462,-0.5,0.06
0.6462,-0.52,0.08
0.6462,-0.52,0.06
0.64621,-0.52,0.06
0.64621,-0.5,0.06
0.64622,-0.5,0.06
0.64622,-0.52,0.08
0.64622,-0.52,0.1
0.64623,-0.5,0.1
0.64623,-0.5,0.08
0.64624,-0.52,0.08
0.64624,-0.54,0.06
0.64624,-0.56,0.06
0.64625,-0.5,0.06
0.64625,-0.46,0.08
0.64626,-0.42,0.08
0.64626,-0.44,0.1
0.64626,-0.46,0.12
0.64627,-0.46,0.08
0.64627,-0.46,0.1
0.64628,-0.44,0.1
0.64628,-0.46,0.1
0.64628,-0.42,0.06
0.64629,-0.42,0.04
0.64629,-0.44,0.02
0.6463,-0.48,0.02
0.6463,-0.48,0.04
0.6463,-0.48,0.06
0.64631,-0.5,0.02
0.64631,-0.52,0.04
0.64632,-0.5,0.06
0.64632,-0.48,0.06
0.64632,-0.5,0.08
0.64633,-0.5,0.06
0.64633,-0.5,0.04
0.64634,-0.46,0.04
0.64634,-0.46,0.04
0.64634,-0.46,0.04
0.64635,-0.48,0.06
0.64635,-0.5,0.1
0.64636,-0.52,0.12
0.64636,-0.5,0.14
0.64636,-0.52,0.16
0.64637,-0.52,0.12
0.64637,-0.52,0.1
0.64638,-0.52,0.08
0.64638,-0.54,0.08
0.64638,-0.54,0.08
0.64639,-0.52,0.08
0.64639,-0.46,0.08
0.6464,-0.46,0.1
0.6464,-0.42,0.06
0.6464,-0.42,0.06
0.64641,-0.46,0.02
0.64641,-0.48,0.04
0.64642,-0.46,0.08
0.64642,-0.46,0.1
0.64642,-0.48,0.1
0.64643,-0.52,0.1
0.64643,-0.5,0.08
0.64644,-0.48,0.08
0.64644,-0.46,0.06
0.64644,-0.46,0.1
0.64645,-0.5,0.08
0.64645,-0.5,0.06
0.64646,-0.46,0.08
0.64646,-0.44,0.06
0.64646,-0.42,0.06
0.64647,-0.4,0.06
0.64647,-0.4,0.06
0.64648,-0.42,0.08
0.64648,-0.42,0.08
0.64648,-0.42,0.1
0.64649,-0.42,0.1
0.64649,-0.4,0.08
